,Whole reconstructed wheel compared to original wheel,Whole reconstructed bulldozer compared to original bulldozer
1,2.0725629319652357,1.3200898220597899
2,2.918819386167835,2.461978120264958
4,3.756841282849483,2.424358348443612
6,3.432071118816634,3.260504688860875
8,4.546027450251195,3.0073310280740913
16,5.898814288616317,2.986580558345466
32,5.551525979531258,3.6566793484219264
64,4.80468178314142,4.0011493249733165
128,5.3030343624505045,3.522628041279498
