,masked_reconstructed_wheel_compared_to_original_wheel,masked_reconstructed_bulldozer_compared_to_reconstructed_wheel,masked_reconstructed_bulldozer_compared_to_original_wheel,masked_reconstructed_bulldozer_compared_to_original_bulldozer
hd1,0.940096263274658,0.9761399645802589,0.9407377179417429,0.9469841732057389
hd2,0.9404365276831067,0.9533574575507587,0.9458909978893661,0.9630421180640217
hd4,0.9440483501826399,0.9571488118148256,0.9444773212722977,0.9567397132482309
hd8,0.9454178855182377,0.955832199385485,0.9474124802265339,0.968094866702207
hd16,0.9442992764232759,0.957779374218678,0.9465379666740439,0.9647533566865246
hd32,0.9443470387669534,0.9570149289516161,0.9471450648744134,0.9673862203684707
hd64,0.9459996689315723,0.9554039909859334,0.9461166828142357,0.9632647060862524
hd128,0.9417957107227852,0.9508884521051846,0.9468128999055475,0.9647029533534749
