,masked_reconstructed_wheel_compared_to_original_wheel,masked_reconstructed_bulldozer_compared_to_reconstructed_wheel,masked_reconstructed_bulldozer_compared_to_original_wheel,masked_reconstructed_bulldozer_compared_to_original_bulldozer
hd1,19.454890912532413,25.891226091902205,20.58731065848985,21.22619367615863
hd2,19.1685015169684,19.02298706653008,22.479787618055614,28.54187962200707
hd4,22.603645367525736,22.345059155924172,23.122727146806202,28.398165659150752
hd8,24.141970222558964,22.961441145743603,23.100315919829153,31.618547101235627
hd16,22.54580323014735,22.4163675845918,22.856276530752858,30.14495130857139
hd32,22.74136253409996,22.366262872838977,23.10976377533455,31.469179914987393
hd64,23.68299973182291,22.27841613852919,22.969861584468386,30.43059110110722
hd128,20.715088548684864,19.605907394872187,23.076578173336994,31.044226442629814
